"region","city","population","adjusted_homicide_rate","homicide_to_injury_ratio","homicides","grave_injuries","unadjusted_homicide_rate","multiplier","multiplier_lwr","multiplier_upr","adjusted_homicide_rate_upr","adjusted_homicide_rate_lwr"
"г.Москва","Москва",12330126,2.26,0.04,6,158,0.02,0.6,0.498244741942054,0.705653216246452,2.26,2.26
"г.Санкт-Петербург","Санкт-Петербург",5225690,2.73,0.48,557,595,5.33,0.51,0.424530753189495,0.601253693548303,3.2,2.26
"Новосибирская область","Новосибирск",1584138,9.65,0.44,485,616,15.31,0.63,0.521523541514357,0.73862247493735,11.31,7.98
"Свердловская область","Екатеринбург",1477737,12.01,0.48,580,626,19.62,0.61,0.506575867855311,0.717452409094439,14.08,9.94
"Нижегородская область","Нижний Новгород",1275532,8.34,0.42,297,405,11.64,0.72,0.593103920531925,0.840000212466989,9.78,6.9
"Республика Татарстан","Казань",1216965,11.75,0.51,382,365,15.69,0.75,0.620105446898559,0.878241888334707,13.78,9.73
"Челябинская область","Челябинск",1191994,12.94,0.44,522,674,21.9,0.59,0.489087468958576,0.692683969230006,15.17,10.71
"Омская область","Омск",1178079,10.39,0.36,400,697,16.98,0.61,0.506324011494041,0.717095710394409,12.18,8.6
"Самарская область","Самара",1170978,7.49,0.42,332,465,14.18,0.53,0.436981948306641,0.618888051005569,8.78,6.2
"Ростовская область","Ростов-на-Дону",1119875,5.88,0.42,202,284,9.02,0.65,0.539174426665752,0.763621040558087,6.89,4.86
"Красноярский край","Красноярск",1067861,9.38,0.33,291,596,13.63,0.69,0.569536695102491,0.806622462492968,10.99,7.76
"Пермский край","Пермь",1041884,6.87,0.33,281,565,13.49,0.51,0.421591505288796,0.59709090052744,8.05,5.69
"Воронежская область","Воронеж",1032382,5.73,0.4,188,278,9.11,0.63,0.520752528997246,0.737530506640414,6.72,4.74
"Волгоградская область","Волгоград",1016137,7.7,0.43,283,368,13.93,0.55,0.457334331196398,0.64771268925073,9.02,6.37
"Краснодарский край","Краснодар",943827,6.74,0.44,191,244,10.12,0.67,0.551079331156726,0.780481698455268,7.9,5.58
"Саратовская область","Саратов",843460,9.03,0.58,230,168,13.63,0.66,0.548407230066443,0.776697259665068,10.59,7.47
"Тюменская область","Тюмень",720575,10.52,0.31,256,573,17.76,0.59,0.490157676309544,0.69419968067747,12.33,8.71
"Республика Дагестан","Махачкала",716339,3.04,0.64,110,62,7.68,0.4,0.3273514050114,0.463620691487007,3.56,2.51
"Самарская область","Тольятти",712619,5.93,0.41,160,227,11.23,0.53,0.436981948306641,0.618888051005569,6.95,4.91
"Алтайский край","Барнаул",700316,7.55,0.3,161,377,11.49,0.66,0.543665292085801,0.769981355802169,8.85,6.25
"Ульяновская область","Ульяновск",644383,10.98,0.4,217,326,16.84,0.65,0.539710430088989,0.764380170575612,12.87,9.09
"Удмуртская Республика","Ижевск",643496,8.51,0.35,178,330,13.83,0.62,0.509589727336663,0.721720872877816,9.98,7.05
"Приморский край","Владивосток",633167,12.24,0.53,248,221,19.58,0.63,0.517335450743939,0.732690972859896,14.35,10.13
